	 Total Time (s)	Calls (kCalls)
Dist_SSE_32x32	0.023213	13.712
TR_DCT_16x16	0.0460881	36.943
Dist_SSE_16x16	0.0273448	70.006
TR_DCT_8x8	0.0434711	153.428
Dist_SSE_8x8	0.0285923	254.278
Dist_SSE_64x64	0.00749219	0.967
Dist_SAD_64x64	0.0201864	15.47
Dist_SAD_64x64sub	0.00688679	5.475
INTERPOL_HALF_64x64	0.0193241	0.364
Dist_HAD_64x64	0.0603282	7.532
INTERPOL_QUARTER_64x64	0.0433175	0.364
Dist_SAD_32x64	0.0205313	30.94
Dist_SAD_32x64sub	0.00614926	9.499
INTERPOL_HALF_32x64	0.020183	0.728
Dist_HAD_32x64	0.0578801	14.196
INTERPOL_QUARTER_32x64	0.0438707	0.728
Dist_SAD_64x32	0.0215823	30.94
Dist_SAD_64x32sub	0.00639376	9.533
INTERPOL_HALF_64x32	0.020414	0.728
Dist_HAD_64x32	0.058037	14.196
INTERPOL_QUARTER_64x32	0.0448483	0.728
TR_DCT_4x4	0.0742351	547.468
Dist_SSE_4x4	0.0925709	1224.6
Dist_SAD_32x32	0.0260185	66.3
Dist_SAD_32x32sub	0.00891278	23.454
INTERPOL_HALF_32x32	0.0231668	1.56
Dist_HAD_32x32	0.0645676	30.285
INTERPOL_QUARTER_32x32	0.0495712	1.56
Dist_SAD_16x32	0.032028	132.6
Dist_SAD_16x32sub	0.00978854	42.561
INTERPOL_HALF_16x32	0.024414	3.12
Dist_HAD_16x32	0.0688661	60.84
INTERPOL_QUARTER_16x32	0.0518039	3.12
Dist_SAD_32x16	0.0333716	132.6
Dist_SAD_32x16sub	0.0100507	43.137
INTERPOL_HALF_32x16	0.0251983	3.12
Dist_HAD_32x16	0.0689836	60.84
INTERPOL_QUARTER_32x16	0.0518403	3.12
Dist_SAD_16x16	0.0485128	265.2
Dist_SAD_16x16sub	0.014678	91.677
INTERPOL_HALF_16x16	0.0278507	6.24
Dist_HAD_16x16	0.0734864	115.82
INTERPOL_QUARTER_16x16	0.0547774	6.24
Dist_SAD_8x16	0.0495304	530.4
Dist_SAD_8x16sub	0.0154905	160.821
INTERPOL_HALF_8x16	0.0315855	12.48
Dist_HAD_8x16	0.0788778	243.36
INTERPOL_QUARTER_8x16	0.0601368	12.48
Dist_SAD_16x8	0.0964037	692.591
INTERPOL_HALF_16x8	0.0325236	12.48
Dist_HAD_16x8	0.080301	243.36
INTERPOL_QUARTER_16x8	0.0609652	12.48
Dist_SAD_8x8	0.151541	1391.95
INTERPOL_HALF_8x8	0.0407889	24.96
Dist_HAD_8x8	0.0955693	453.795
INTERPOL_QUARTER_8x8	0.0690491	24.96
Dist_SAD_4x8	0.0738635	704.342
INTERPOL_HALF_4x8	0.0274983	24.96
Dist_HAD_4x8	0.076682	524.16
INTERPOL_QUARTER_4x8	0.0422541	24.96
Dist_SAD_8x4	0.0781673	700.558
INTERPOL_HALF_8x4	0.0292935	24.96
Dist_HAD_8x4	0.0794619	524.16
INTERPOL_QUARTER_8x4	0.0432986	24.96
TR_iDCT_32x32	0.033252	3.357
TR_iDCT_16x16	0.0222492	12.516
TR_iDCT_8x8	0.0121283	25.383
TR_iDCT_4x4	0.00642397	25.402
Dist_HAD_16x64	0.000672913	0.29
Dist_HAD_48x64	0.00179349	0.29
Dist_SAD_32x8	0.00530107	21.273
INTERPOL_HALF_32x8	0.00154699	0.328
Dist_HAD_32x8	0.00411746	6.756
INTERPOL_QUARTER_32x8	0.00304575	0.328
Dist_SAD_32x24	0.00507258	13.94
Dist_SAD_32x24sub	0.00219711	6.191
INTERPOL_HALF_32x24	0.00367895	0.328
Dist_HAD_32x24	0.0112282	6.756
INTERPOL_QUARTER_32x24	0.00814317	0.328
Dist_SAD_8x32	0.00387775	19.38
Dist_SAD_8x32sub	0.00154091	8.658
INTERPOL_HALF_8x32	0.00204819	0.456
Dist_HAD_8x32	0.00594311	9.212
INTERPOL_QUARTER_8x32	0.0042055	0.456
Dist_SAD_24x32	0.00794561	19.38
Dist_SAD_24x32sub	0.00318308	8.19
INTERPOL_HALF_24x32	0.00514955	0.456
Dist_HAD_24x32	0.0158523	9.212
INTERPOL_QUARTER_24x32	0.0113358	0.456
Dist_HAD_16x4	0.00358466	14.306
Dist_HAD_16x12	0.00731521	14.306
Dist_HAD_4x16	0.00573564	21.484
Dist_HAD_12x16	0.011271	21.484
TR_DST_4x4	0.00206474	7.015
TR_iDST_4x4	0.00111734	4.316
Dist_HAD_4x4	0.00335743	18.06
Dist_SAD_4x16	0.00748242	43.86
Dist_SAD_4x16sub	0.00263443	21.488
INTERPOL_HALF_4x16	0.00178181	1.032
INTERPOL_QUARTER_4x16	0.00316446	1.032
Dist_SAD_12x16	0.0115777	43.86
Dist_SAD_12x16sub	0.00401109	17.972
INTERPOL_HALF_12x16	0.0038488	1.032
INTERPOL_QUARTER_12x16	0.00747049	1.032
Dist_SAD_16x4	0.00748274	39.252
INTERPOL_HALF_16x4	0.00122532	0.648
INTERPOL_QUARTER_16x4	0.00201935	0.648
Dist_SAD_16x12	0.0070259	27.54
Dist_SAD_16x12sub	0.00244785	10.858
INTERPOL_HALF_16x12	0.00238184	0.648
INTERPOL_QUARTER_16x12	0.00473001	0.648
Dist_HAD_64x16	0.000394887	0.17
Dist_HAD_64x48	0.00109621	0.17

Frame	3
Others	6.67187	14194.5
TR_DCT_32x32	0.0376207	4.996
Dist_SSE_32x32	0.0219471	12.895
TR_DCT_16x16	0.0438025	35.254
Dist_SSE_16x16	0.026159	67.244
TR_DCT_8x8	0.0418594	147.043
Dist_SSE_8x8	0.0274545	245.82
Dist_SSE_64x64	0.00729751	0.945
Dist_SAD_64x64	0.0299506	23.205
Dist_SAD_64x64sub	0.0102472	8.005
INTERPOL_HALF_64x64	0.029064	0.546
Dist_HAD_64x64	0.0856222	10.668
INTERPOL_QUARTER_64x64	0.0659009	0.546
Dist_SAD_32x64	0.0308635	46.41
Dist_SAD_32x64sub	0.00954134	14.828
INTERPOL_HALF_32x64	0.0300168	1.092
Dist_HAD_32x64	0.0841261	20.748
INTERPOL_QUARTER_32x64	0.065661	1.092
Dist_SAD_64x32	0.0324049	46.41
Dist_SAD_64x32sub	0.0102517	15.404
INTERPOL_HALF_64x32	0.0301629	1.092
Dist_HAD_64x32	0.0842113	20.748
INTERPOL_QUARTER_64x32	0.0666902	1.092
TR_DCT_4x4	0.0707341	529.664
Dist_SSE_4x4	0.0872804	1185.7
Dist_SAD_32x32	0.0385077	99.45
Dist_SAD_32x32sub	0.0140911	37.658
INTERPOL_HALF_32x32	0.0341215	2.34
Dist_HAD_32x32	0.0928651	43.87
INTERPOL_QUARTER_32x32	0.0735419	2.34
Dist_SAD_16x32	0.047902	198.9
Dist_SAD_16x32sub	0.0152374	67.894
INTERPOL_HALF_16x32	0.0364593	4.68
Dist_HAD_16x32	0.100372	88.92
INTERPOL_QUARTER_16x32	0.0772717	4.68
Dist_SAD_32x16	0.0495804	198.9
Dist_SAD_32x16sub	0.0152235	65.712
INTERPOL_HALF_32x16	0.0370542	4.68
Dist_HAD_32x16	0.0996387	88.92
INTERPOL_QUARTER_32x16	0.0765999	4.68
Dist_SAD_16x16	0.0715562	397.8
Dist_SAD_16x16sub	0.0228651	142.39
INTERPOL_HALF_16x16	0.0407293	9.36
Dist_HAD_16x16	0.106374	171
INTERPOL_QUARTER_16x16	0.0815242	9.36
Dist_SAD_8x16	0.0740178	795.6
Dist_SAD_8x16sub	0.0243918	254.849
INTERPOL_HALF_8x16	0.0472573	18.72
Dist_HAD_8x16	0.114528	355.68
INTERPOL_QUARTER_8x16	0.0898559	18.72
Dist_SAD_16x8	0.144749	1045.74
INTERPOL_HALF_16x8	0.0481762	18.72
Dist_HAD_16x8	0.116438	355.68
INTERPOL_QUARTER_16x8	0.0904608	18.72
Dist_SAD_8x8	0.226243	2112.04
INTERPOL_HALF_8x8	0.0595097	37.44
Dist_HAD_8x8	0.140103	677
INTERPOL_QUARTER_8x8	0.101544	37.44
Dist_SAD_4x8	0.109329	1071.17
INTERPOL_HALF_4x8	0.0401966	37.44
Dist_HAD_4x8	0.106316	748.8
INTERPOL_QUARTER_4x8	0.0615677	37.44
Dist_SAD_8x4	0.115284	1065.31
INTERPOL_HALF_8x4	0.0426479	37.44
Dist_HAD_8x4	0.110528	748.8
INTERPOL_QUARTER_8x4	0.0635458	37.44
TR_iDCT_16x16	0.0204497	11.676
TR_iDCT_32x32	0.0285248	2.887
TR_iDCT_8x8	0.0110624	23.161
TR_iDCT_4x4	0.00589855	22.707
Dist_HAD_16x64	0.000628338	0.27
Dist_HAD_48x64	0.00169048	0.27
Dist_HAD_32x8	0.00452203	7.18
Dist_HAD_32x24	0.0122	7.18
Dist_SAD_8x32	0.0052211	28.05
Dist_SAD_8x32sub	0.00273613	16.426
INTERPOL_HALF_8x32	0.0029379	0.66
Dist_HAD_8x32	0.00825926	12.77
INTERPOL_QUARTER_8x32	0.00621662	0.66
Dist_SAD_24x32	0.0109047	28.05
Dist_SAD_24x32sub	0.00453254	12.031
INTERPOL_HALF_24x32	0.00734879	0.66
Dist_HAD_24x32	0.0217883	12.77
INTERPOL_QUARTER_24x32	0.0164904	0.66
Dist_HAD_16x4	0.00293956	12.166
Dist_HAD_16x12	0.00600416	12.166
Dist_SAD_4x16	0.00780089	56.1
Dist_SAD_4x16sub	0.00353081	32.556
INTERPOL_HALF_4x16	0.00227975	1.32
Dist_HAD_4x16	0.00647563	26.09
INTERPOL_QUARTER_4x16	0.00392796	1.32
Dist_SAD_12x16	0.012278	56.1
Dist_SAD_12x16sub	0.00544064	27.236
INTERPOL_HALF_12x16	0.00476955	1.32
Dist_HAD_12x16	0.0126938	26.09
INTERPOL_QUARTER_12x16	0.00943426	1.32
TR_DST_4x4	0.00143443	4.82
TR_iDST_4x4	0.000745188	2.908
Dist_HAD_4x4	0.00225104	12.32
Dist_SAD_16x4	0.00645167	35.939
INTERPOL_HALF_16x4	0.00105167	0.564
INTERPOL_QUARTER_16x4	0.00176486	0.564
Dist_SAD_16x12	0.0058815	23.97
Dist_SAD_16x12sub	0.00160111	8.153
INTERPOL_HALF_16x12	0.00206112	0.564
INTERPOL_QUARTER_16x12	0.00417097	0.564
Dist_HAD_64x16	0.000305363	0.12
Dist_HAD_64x48	0.000736846	0.12
Dist_SAD_32x8	0.00739592	23.47
INTERPOL_HALF_32x8	0.0017523	0.36
INTERPOL_QUARTER_32x8	0.00338594	0.36
Dist_SAD_32x24	0.0067468	15.3
Dist_SAD_32x24sub	0.00266555	6.603
INTERPOL_HALF_32x24	0.00410227	0.36
INTERPOL_QUARTER_32x24	0.00902714	0.36

Frame	4
Others	10.1012	20480.1
TR_DCT_32x32	0.0643917	8.239
Dist_SSE_32x32	0.0350743	20.164
TR_DCT_16x16	0.0678505	53.391
Dist_SSE_16x16	0.0391234	100.61
TR_DCT_8x8	0.0616545	216.14
Dist_SSE_8x8	0.0403491	345.581
Dist_SSE_64x64	0.00993058	1.248
Dist_SAD_64x64	0.0402965	30.94
Dist_SAD_64x64sub	0.0154799	11.6
INTERPOL_HALF_64x64	0.0395377	0.728
Dist_HAD_64x64	0.123743	15.169
INTERPOL_QUARTER_64x64	0.0890087	0.728
Dist_SAD_32x64	0.0416088	61.88
Dist_SAD_32x64sub	0.0144336	21.958
