	 Total Time (s)	Calls (kCalls)
Frame	0
Others	2.06842	960.526
DIST_HAD_64x64	0.0237706	3.185
TR_DCT_32x32_0	0.0196005	1.808
TR_iDCT_32x32_0	0.0235726	1.798
DIST_SSE_32x32	0.00264112	3.723
TR_DCT_16x16_0	0.00427221	2.566
TR_iDCT_16x16_0	0.0045517	2.281
DIST_SSE_16x16	0.00271874	12.298
DIST_HAD_32x32	0.0240792	12.74
TR_DCT_32x32_1	0.020817	1.915
TR_iDCT_32x32_1	0.0249142	1.91
TR_DCT_16x16_1	0.00363439	2.176
TR_iDCT_16x16_1	0.00383038	1.935
TR_DCT_8x8_1	0.00347417	11.494
TR_iDCT_8x8_1	0.00314185	7.926
DIST_SSE_8x8	0.00733773	90.07
DIST_HAD_16x16	0.025695	50.96
TR_DCT_16x16_2	0.0123983	7.556
TR_iDCT_16x16_2	0.0143271	7.088
TR_DCT_8x8_2	0.0208719	68.456
TR_iDCT_8x8_2	0.0194339	48.688
TR_DST_4x4_2	0.00610484	46.592
TR_iDST_4x4_2	0.00332559	21.869
DIST_SSE_4x4	0.00867595	183.568
DIST_HAD_8x8	0.0318344	203.84
TR_DCT_4x4_2	0.00834748	88.72
TR_iDCT_4x4_2	0.00324172	26.352
TR_DCT_8x8_0	0.00301427	10.12
TR_iDCT_8x8_0	0.00259378	6.532
TR_DCT_4x4_1	0.0022091	24.04
TR_iDCT_4x4_1	0.00103038	8.319

Frame	1
Others	3.55961	3820.57
TR_DCT_32x32_0	0.0287303	2.596
DIST_SSE_32x32	0.00807198	11.237
TR_DCT_16x16_0	0.022583	13.77
DIST_SSE_16x16	0.0126713	58.394
TR_DCT_8x8_0	0.00590712	19.64
DIST_SSE_8x8	0.0127714	148.723
DIST_SSE_64x64	0.00295906	0.929
DIST_SAD_64x64	0.0102931	7.735
DIST_SAD_64x64sub	0.00454302	3.384
INTERPOL_HALF_64x64	0.0102333	0.182
DIST_HAD_64x64	0.0310581	4.151
INTERPOL_QUARTER_64x64	0.021308	0.182
DIST_SAD_32x64	0.0100198	15.47
DIST_SAD_32x64sub	0.002801	4.324
INTERPOL_HALF_32x64	0.0111655	0.364
DIST_HAD_32x64	0.0292956	7.644
INTERPOL_QUARTER_32x64	0.023041	0.364
DIST_SAD_64x32	0.0104462	15.47
DIST_SAD_64x32sub	0.00347105	5.331
INTERPOL_HALF_64x32	0.0106856	0.364
DIST_HAD_64x32	0.0289527	7.644
INTERPOL_QUARTER_64x32	0.0218575	0.364
TR_DCT_32x32_1	0.0232699	2.095
TR_DCT_16x16_1	0.0195706	11.836
TR_DCT_8x8_1	0.0143219	47.304
TR_DCT_4x4_1	0.00599396	63.936
DIST_SSE_4x4	0.0259556	631.875
DIST_SAD_32x32	0.0103517	30.94
DIST_SAD_32x32sub	0.00394549	11.208
INTERPOL_HALF_32x32	0.0116737	0.728
DIST_HAD_32x32	0.0274686	14.399
INTERPOL_QUARTER_32x32	0.0236397	0.728
DIST_SAD_16x32	0.0117226	61.88
DIST_SAD_16x32sub	0.00371993	19.939
INTERPOL_HALF_16x32	0.013764	1.456
DIST_HAD_16x32	0.0301766	30.576
INTERPOL_QUARTER_16x32	0.027388	1.456
DIST_SAD_32x16	0.0111347	61.88
DIST_SAD_32x16sub	0.00369736	19.846
INTERPOL_HALF_32x16	0.0127699	1.456
DIST_HAD_32x16	0.0299363	30.576
INTERPOL_QUARTER_32x16	0.0252217	1.456
TR_DCT_16x16_2	0.0139448	7.985
TR_DCT_8x8_2	0.0151218	48.782
TR_DCT_4x4_2	0.0227768	251.272
DIST_SAD_16x16	0.0130475	123.76
DIST_SAD_16x16sub	0.00518018	47.007
INTERPOL_HALF_16x16	0.0155943	2.912
DIST_HAD_16x16	0.0273159	54.096
INTERPOL_QUARTER_16x16	0.0293552	2.912
DIST_SAD_8x8	0.0402959	641.215
INTERPOL_HALF_8x8	0.0251406	11.648
DIST_HAD_8x8	0.0387399	251.328
INTERPOL_QUARTER_8x8	0.0424697	11.648
DIST_SAD_8x16	0.0160206	247.52
DIST_SAD_8x16sub	0.00481096	74.287
INTERPOL_HALF_8x16	0.020231	5.824
DIST_HAD_8x16	0.0338244	122.304
INTERPOL_QUARTER_8x16	0.0375233	5.824
DIST_SAD_16x8	0.0328923	323.342
INTERPOL_HALF_16x8	0.0185851	5.824
DIST_HAD_16x8	0.0330907	122.304
INTERPOL_QUARTER_16x8	0.0329096	5.824
TR_iDCT_32x32_0	0.0151576	1.145
TR_iDCT_16x16_0	0.00554161	2.756
TR_iDCT_8x8_0	0.000556154	1.375
DIST_HAD_16x64	0.000493339	0.25
DIST_HAD_48x64	0.00143619	0.25
TR_iDCT_32x32_1	0.00926496	0.705
TR_iDCT_16x16_1	0.00332024	1.62
TR_iDCT_8x8_1	0.00168023	4.128
DIST_SAD_8x32	0.00106489	9.69
DIST_SAD_8x32sub	0.000550411	5.018
INTERPOL_HALF_8x32	0.00141202	0.228
