	 Total Time (s)	Calls (kCalls)
Frame	0
Others	17.8435	12617.5
DIST_HAD_64x64	0.12583	16.8
TR_DCT_32x32_0	0.10902	9.74
TR_iDCT_32x32_0	0.127173	9.685
DIST_SSE_32x32	0.013857	19.575
TR_DCT_16x16_0	0.0376192	23.34
TR_iDCT_16x16_0	0.0303782	15.278
DIST_SSE_16x16	0.0187871	84.027
TR_DCT_8x8_0	0.00423647	14.16
DIST_SSE_8x8	0.0357948	439.084
TR_iDCT_8x8_0	0.00268032	6.766
DIST_HAD_32x32	0.127682	67.2
TR_DCT_32x32_1	0.108367	9.835
TR_iDCT_32x32_1	0.128466	9.737
TR_DCT_16x16_1	0.0371355	22.58
TR_iDCT_16x16_1	0.0276621	13.811
TR_DCT_8x8_1	0.0129193	42.63
TR_iDCT_8x8_1	0.00938158	23.177
DIST_HAD_16x16	0.133874	268.8
TR_DCT_16x16_2	0.0623696	38.107
TR_iDCT_16x16_2	0.0646154	32.19
TR_DCT_8x8_2	0.0296585	97.28
TR_iDCT_8x8_2	0.0126558	30.858
TR_DST_4x4_2	0.0141927	122.88
TR_iDST_4x4_2	0.00387348	24.347
DIST_SSE_4x4	0.136066	3158.83
DIST_HAD_8x8	0.163746	1075.2
TR_DCT_8x8_3	0.0866527	285.014
TR_iDCT_8x8_3	0.0595502	147.099
TR_DST_4x4_3	0.149807	1241.03
TR_iDST_4x4_3	0.0316434	209.146
TR_DCT_4x4_3	0.0585137	614.4
DIST_HAD_4x4	0.230476	4300.8
TR_iDCT_4x4_3	0.00843645	65.266
TR_DCT_4x4_2	0.00383991	40.96
TR_iDCT_4x4_2	0.00131281	10.59
TR_DCT_4x4_1	0.00198777	21.16
TR_iDCT_4x4_1	0.00077201	6.07

Frame	1
Others	34.4389	34934.1
TR_DCT_32x32_0	0.174627	16.168
DIST_SSE_32x32	0.0506533	72.294
TR_iDCT_32x32_0	0.120059	9.335
TR_DCT_16x16_0	0.139028	87.356
DIST_SSE_16x16	0.0792169	363.36
TR_iDCT_16x16_0	0.0506436	25.955
TR_DCT_8x8_0	0.0330646	113.072
DIST_SSE_8x8	0.107452	1289.06
DIST_SSE_64x64	0.0169385	5.446
DIST_SAD_64x64	0.0534218	40.8
DIST_SAD_64x64sub	0.116335	90.748
INTERPOL_HALF_64x64	0.0530121	0.96
DIST_HAD_64x64	0.165243	22.425
INTERPOL_QUARTER_64x64	0.113828	0.96
DIST_SAD_32x64	0.0525295	81.6
DIST_SAD_32x64sub	0.0478676	73.786
INTERPOL_HALF_32x64	0.057107	1.92
DIST_HAD_32x64	0.149276	40.32
INTERPOL_QUARTER_32x64	0.122675	1.92
DIST_SAD_64x32	0.0543409	81.6
DIST_SAD_64x32sub	0.0510331	77.366
INTERPOL_HALF_64x32	0.0552718	1.92
DIST_HAD_64x32	0.149709	40.32
INTERPOL_QUARTER_64x32	0.116693	1.92
DIST_HAD_64x16	0.00322112	1.67
DIST_HAD_64x48	0.00935611	1.67
DIST_HAD_16x64	0.00342021	1.77
DIST_HAD_48x64	0.00989039	1.77
TR_DCT_32x32_1	0.151337	13.682
TR_iDCT_32x32_1	0.0874504	6.754
TR_DCT_16x16_1	0.120771	75.08
TR_iDCT_16x16_1	0.0387504	19.663
TR_DCT_8x8_1	0.0857078	292.99
TR_DCT_4x4_1	0.0337012	380.744
DIST_SSE_4x4	0.275621	6176.98
TR_iDCT_8x8_1	0.0188519	47.241
DIST_SAD_32x32	0.0545706	163.164
DIST_SAD_32x32sub	0.0799847	226.349
INTERPOL_HALF_32x32	0.0607349	3.84
DIST_HAD_32x32	0.154066	82.665
INTERPOL_QUARTER_32x32	0.12641	3.84
DIST_SAD_16x32	0.0603047	326.328
DIST_SAD_16x32sub	0.0427212	218.383
INTERPOL_HALF_16x32	0.0706928	7.68
DIST_HAD_16x32	0.154125	161.28
INTERPOL_QUARTER_16x32	0.146295	7.68
DIST_SAD_32x16	0.0582078	326.328
DIST_SAD_32x16sub	0.0446372	235.113
INTERPOL_HALF_32x16	0.0659992	7.68
DIST_HAD_32x16	0.154001	161.28
INTERPOL_QUARTER_32x16	0.133573	7.68
DIST_HAD_32x8	0.0115318	23.786
