	 Total Time (s)	Calls (kCalls)
Frame	0
Others	2.76104	2529.4
DIST_HAD_64x64	0.0280846	3.185
TR_DCT_32x32	0.0305363	3.709
TR_iDCT_32x32	0.0388657	3.683
DIST_SSE_32x32	0.0069533	3.709
TR_DCT_16x16	0.017898	13.167
TR_iDCT_16x16	0.0201823	11.313
DIST_SSE_16x16	0.00550887	13.167
DIST_HAD_32x32	0.0289794	12.74
TR_DCT_8x8	0.0263155	88.888
TR_iDCT_8x8	0.0211895	52.001
DIST_SSE_8x8	0.00879429	88.888
DIST_HAD_16x16	0.0319145	50.96
TR_DST_4x4	0.0517506	262.092
DIST_SSE_4x4	0.0380718	636.552
DIST_HAD_8x8	0.0410189	203.84
TR_DCT_4x4	0.0211928	157.8
TR_iDCT_4x4	0.00562256	28.775
DIST_HAD_4x4	0.0684007	815.36
TR_iDST_4x4	0.0165006	79.567

Frame	1
Others	4.2519	5666.14
TR_DCT_32x32	0.0354334	4.276
DIST_SSE_32x32	0.0190308	10.185
TR_DCT_16x16	0.0420015	30.794
DIST_SSE_16x16	0.0222622	52.539
TR_DCT_8x8	0.0379365	126.065
DIST_SSE_8x8	0.0218266	201.584
DIST_SSE_64x64	0.00774561	0.899
DIST_SAD_64x64	0.0109616	7.735
DIST_SAD_64x64sub	0.00445824	3.209
INTERPOL_HALF_64x64	0.0108385	0.182
DIST_HAD_64x64	0.0350753	3.941
INTERPOL_QUARTER_64x64	0.0242955	0.182
DIST_SAD_32x64	0.0112071	15.47
DIST_SAD_32x64sub	0.00308048	4.332
INTERPOL_HALF_32x64	0.0110066	0.364
DIST_HAD_32x64	0.0350472	7.644
INTERPOL_QUARTER_32x64	0.0243626	0.364
DIST_SAD_64x32	0.0118021	15.47
DIST_SAD_64x32sub	0.00338327	4.6
INTERPOL_HALF_64x32	0.0112921	0.364
DIST_HAD_64x32	0.0343392	7.644
INTERPOL_QUARTER_64x32	0.024754	0.364
TR_DCT_4x4	0.0655775	462.604
DIST_SSE_4x4	0.072157	1022.42
DIST_SAD_32x32	0.0129367	30.94
DIST_SAD_32x32sub	0.00449166	11.121
INTERPOL_HALF_32x32	0.0117404	0.728
DIST_HAD_32x32	0.032294	13.769
INTERPOL_QUARTER_32x32	0.0253717	0.728
DIST_SAD_16x32	0.0161434	61.88
DIST_SAD_16x32sub	0.00489663	19.945
INTERPOL_HALF_16x32	0.01261	1.456
DIST_HAD_16x32	0.0377993	30.576
INTERPOL_QUARTER_16x32	0.0265119	1.456
DIST_SAD_32x16	0.0165005	61.88
DIST_SAD_32x16sub	0.00471239	19.182
INTERPOL_HALF_32x16	0.012823	1.456
DIST_HAD_32x16	0.0377305	30.576
INTERPOL_QUARTER_32x16	0.0264127	1.456
DIST_SAD_16x16	0.0242207	123.76
DIST_SAD_16x16sub	0.007027	40.96
INTERPOL_HALF_16x16	0.0146929	2.912
DIST_HAD_16x16	0.0362046	52.766
INTERPOL_QUARTER_16x16	0.0284541	2.912
DIST_SAD_8x16	0.023725	247.52
DIST_SAD_8x16sub	0.00748265	72.735
INTERPOL_HALF_8x16	0.0167067	5.824
DIST_HAD_8x16	0.0442933	122.304
INTERPOL_QUARTER_8x16	0.0313819	5.824
DIST_SAD_16x8	0.0482552	320.093
INTERPOL_HALF_16x8	0.0178255	5.824
DIST_HAD_16x8	0.0455038	122.304
INTERPOL_QUARTER_16x8	0.032212	5.824
DIST_SAD_8x8	0.0721967	644.054
INTERPOL_HALF_8x8	0.0219774	11.648
DIST_HAD_8x8	0.0483441	210.119
INTERPOL_QUARTER_8x8	0.0360193	11.648
DIST_SAD_4x8	0.0358774	321.412
INTERPOL_HALF_4x8	0.0151274	11.648
DIST_HAD_4x8	0.0437651	279.552
INTERPOL_QUARTER_4x8	0.0220578	11.648
DIST_SAD_8x4	0.0385278	320.112
INTERPOL_HALF_8x4	0.0157304	11.648
DIST_HAD_8x4	0.0452168	279.552
INTERPOL_QUARTER_8x4	0.0230576	11.648
TR_iDCT_32x32	0.0132179	1.218
TR_iDCT_16x16	0.00619947	3.196
DIST_HAD_16x64	0.000559336	0.22
DIST_HAD_48x64	0.00152996	0.22
TR_iDCT_8x8	0.00231952	4.266
TR_iDCT_4x4	0.000951564	3.273
DIST_SAD_32x8	0.00164703	6.118
INTERPOL_HALF_32x8	0.000547631	0.104
DIST_HAD_32x8	0.00160202	2.334
INTERPOL_QUARTER_32x8	0.00107446	0.104
DIST_SAD_32x24	0.00180821	4.42
DIST_SAD_32x24sub	0.000614735	1.573
INTERPOL_HALF_32x24	0.00130053	0.104
DIST_HAD_32x24	0.00437408	2.334
INTERPOL_QUARTER_32x24	0.00287534	0.104
DIST_SAD_8x32	0.00165817	8.16
DIST_SAD_8x32sub	0.000736905	4.181
INTERPOL_HALF_8x32	0.00097908	0.192
DIST_HAD_8x32	0.00297953	4.102
INTERPOL_QUARTER_8x32	0.0020148	0.192
DIST_SAD_24x32	0.00353211	8.16
DIST_SAD_24x32sub	0.00107973	2.668
INTERPOL_HALF_24x32	0.00238122	0.192
DIST_HAD_24x32	0.00768783	4.102
INTERPOL_QUARTER_24x32	0.00528014	0.192
DIST_SAD_16x4	0.00132435	7.886
INTERPOL_HALF_16x4	0.000273586	0.132
DIST_HAD_16x4	0.00112713	3.932
INTERPOL_QUARTER_16x4	0.000460604	0.132
DIST_SAD_16x12	0.00134405	5.61
DIST_SAD_16x12sub	0.000430918	2.009
INTERPOL_HALF_16x12	0.000541858	0.132
DIST_HAD_16x12	0.00219721	3.932
INTERPOL_QUARTER_16x12	0.00106298	0.132
DIST_SAD_4x16	0.00203188	12.24
DIST_SAD_4x16sub	0.000623302	5.281
INTERPOL_HALF_4x16	0.000573816	0.288
DIST_HAD_4x16	0.00204417	6.928
INTERPOL_QUARTER_4x16	0.000994549	0.288
DIST_SAD_12x16	0.00317169	12.24
DIST_SAD_12x16sub	0.00138929	6.248
INTERPOL_HALF_12x16	0.00118335	0.288
DIST_HAD_12x16	0.00390687	6.928
INTERPOL_QUARTER_12x16	0.00234944	0.288
DIST_HAD_64x16	0.000254145	0.1
DIST_HAD_64x48	0.000697924	0.1
TR_DST_4x4	0.000230031	0.694
TR_iDST_4x4	4.66e-05	0.147
DIST_HAD_4x4	0.00039652	1.82

Frame	2
Others	5.78026	9394.46
TR_DCT_32x32	0.037457	4.511
DIST_SSE_32x32	0.0202076	10.793
TR_DCT_16x16	0.0438563	32.026
DIST_SSE_16x16	0.0234795	55.199
TR_DCT_8x8	0.0395061	130.75
DIST_SSE_8x8	0.0230589	208.929
DIST_SSE_64x64	0.00786501	0.909
DIST_SAD_64x64	0.0218619	15.47
DIST_SAD_64x64sub	0.00734534	5.246
INTERPOL_HALF_64x64	0.0216045	0.364
DIST_HAD_64x64	0.064489	7.252
INTERPOL_QUARTER_64x64	0.0486736	0.364
DIST_SAD_32x64	0.0225257	30.94
DIST_SAD_32x64sub	0.00722822	10.191
INTERPOL_HALF_32x64	0.0219552	0.728
DIST_HAD_32x64	0.065085	14.196
INTERPOL_QUARTER_32x64	0.0491067	0.728
DIST_SAD_64x32	0.0236475	30.94
DIST_SAD_64x32sub	0.0080824	11.048
INTERPOL_HALF_64x32	0.0226005	0.728
DIST_HAD_64x32	0.0639318	14.196
INTERPOL_QUARTER_64x32	0.0500851	0.728
TR_DCT_4x4	0.068255	473.548
DIST_SSE_4x4	0.0749444	1047.9
DIST_SAD_32x32	0.0256684	61.88
DIST_SAD_32x32sub	0.0104944	26.181
INTERPOL_HALF_32x32	0.0232744	1.456
DIST_HAD_32x32	0.0638435	27.398
INTERPOL_QUARTER_32x32	0.0506768	1.456
DIST_SAD_16x32	0.0321178	123.76
DIST_SAD_16x32sub	0.0100995	41.518
INTERPOL_HALF_16x32	0.0249172	2.912
DIST_HAD_16x32	0.069716	56.784
INTERPOL_QUARTER_16x32	0.0529962	2.912
DIST_SAD_32x16	0.032786	123.76
DIST_SAD_32x16sub	0.00991129	40.875
INTERPOL_HALF_32x16	0.0253792	2.912
DIST_HAD_32x16	0.069737	56.784
