	 Total Time (s)	Calls (kCalls)
Frame	0
Others	4.09978	2630.43
DIST_HAD_64x64	0.0231936	3.185
TR_DCT_32x32_0	0.0193247	1.804
TR_iDCT_32x32_0	0.0230637	1.795
DIST_SSE_32x32	0.00263379	3.731
TR_DCT_16x16_0	0.00407224	2.546
TR_iDCT_16x16_0	0.0044358	2.283
DIST_SSE_16x16	0.00268933	12.284
DIST_HAD_32x32	0.023499	12.74
TR_DCT_32x32_1	0.0204851	1.927
TR_iDCT_32x32_1	0.0244053	1.91
TR_DCT_16x16_1	0.00350762	2.156
TR_iDCT_16x16_1	0.00366012	1.882
TR_DCT_8x8_1	0.00334537	11.404
TR_iDCT_8x8_1	0.00311456	7.848
DIST_SSE_8x8	0.00779006	90.276
DIST_HAD_16x16	0.0248921	50.96
TR_DCT_16x16_2	0.012262	7.582
TR_iDCT_16x16_2	0.0137307	7.043
TR_DCT_8x8_2	0.00391663	12.934
TR_iDCT_8x8_2	0.00304834	7.453
TR_DST_4x4_2	0.00270422	23.296
TR_iDST_4x4_2	0.00173366	11.354
DIST_SSE_4x4	0.0288491	656.204
DIST_HAD_8x8	0.03036	203.84
TR_DCT_8x8_3	0.0169587	55.738
TR_iDCT_8x8_3	0.0165988	41.643
TR_DST_4x4_3	0.0259164	241.412
TR_iDST_4x4_3	0.015605	105.798
TR_DCT_4x4_3	0.0101784	116.48
TR_iDCT_4x4_3	0.0034394	26.972
DIST_HAD_4x4	0.0441226	815.36
TR_DCT_8x8_0	0.002932	10.2
TR_iDCT_8x8_0	0.00259074	6.488
TR_DCT_4x4_2	0.00249024	29.8
TR_DCT_4x4_1	0.00201883	24.72
TR_iDCT_4x4_1	0.00101082	7.937
TR_iDCT_4x4_2	0.00120377	9.449

Frame	1
Others	5.34649	5834.77
TR_DCT_32x32_0	0.0267466	2.524
DIST_SSE_32x32	0.00755376	11.025
TR_DCT_16x16_0	0.0212235	13.55
DIST_SSE_16x16	0.011724	56.471
TR_DCT_8x8_0	0.00537277	19.176
DIST_SSE_8x8	0.0171446	213.257
DIST_SSE_64x64	0.00282626	0.921
DIST_SAD_64x64	0.00984625	7.735
DIST_SAD_64x64sub	0.00401225	3.235
INTERPOL_HALF_64x64	0.00999339	0.182
DIST_HAD_64x64	0.029709	4.081
INTERPOL_QUARTER_64x64	0.0205277	0.182
DIST_SAD_32x64	0.00959926	15.47
DIST_SAD_32x64sub	0.0028189	4.518
INTERPOL_HALF_32x64	0.0106421	0.364
DIST_HAD_32x64	0.0276878	7.644
INTERPOL_QUARTER_32x64	0.0220133	0.364
DIST_SAD_64x32	0.0100962	15.47
DIST_SAD_64x32sub	0.00341932	5.26
INTERPOL_HALF_64x32	0.0101974	0.364
DIST_HAD_64x32	0.0278619	7.644
INTERPOL_QUARTER_64x32	0.0210436	0.364
TR_DCT_32x32_1	0.0219257	2.061
TR_DCT_16x16_1	0.0183445	11.7
TR_DCT_8x8_1	0.0129674	46.73
TR_DCT_4x4_1	0.00475603	62.68
DIST_SSE_4x4	0.046868	1067.63
