	 Total Time (s)	Calls (kCalls)
Frame	0
Others	1.13053	415.796
DIST_HAD_64x64	0.0229433	3.185
TR_DCT_32x32_0	0.0188927	1.8
TR_iDCT_32x32_0	0.022745	1.795
DIST_SSE_32x32	0.00248746	3.701
TR_DCT_16x16_0	0.00407721	2.596
TR_iDCT_16x16_0	0.00438416	2.293
DIST_SSE_16x16	0.00260614	12.348
DIST_HAD_32x32	0.0232139	12.74
TR_DCT_32x32_1	0.020049	1.901
TR_iDCT_32x32_1	0.0239204	1.883
TR_DCT_16x16_1	0.0152819	9.752
TR_iDCT_16x16_1	0.017158	8.933
TR_DCT_8x8_1	0.00682757	24.138
TR_iDCT_8x8_1	0.0061211	15.873
DIST_SSE_8x8	0.00291011	34.138
DIST_HAD_16x16	0.0241903	50.96
TR_DST_4x4_1	0.00241704	23.296
TR_iDST_4x4_1	0.001597	11.715
DIST_SSE_4x4	0.00460566	102.282
TR_DCT_4x4_1	0.00446187	54.52
TR_DCT_8x8_0	0.00274764	10
TR_iDCT_8x8_0	0.00248501	6.552
TR_iDCT_4x4_1	0.00216679	19.394

Frame	1
Others	1.33245	1048.61
TR_DCT_32x32_0	0.0265787	2.448
DIST_SSE_32x32	0.00784577	11.175
TR_DCT_16x16_0	0.0211328	13.198
DIST_SSE_16x16	0.00783822	36.767
TR_DCT_8x8_0	0.00539587	18.856
DIST_SSE_8x8	0.00622244	74.091
DIST_SSE_64x64	0.00281224	0.91
DIST_SAD_64x64	0.0102337	7.735
DIST_SAD_64x64sub	0.00432827	3.329
INTERPOL_HALF_64x64	0.010316	0.182
DIST_HAD_64x64	0.0298736	4.011
INTERPOL_QUARTER_64x64	0.0211986	0.182
DIST_SAD_32x64	0.00986227	15.47
DIST_SAD_32x64sub	0.00278134	4.318
INTERPOL_HALF_32x64	0.0108443	0.364
DIST_HAD_32x64	0.0285244	7.644
INTERPOL_QUARTER_32x64	0.0227225	0.364
DIST_SAD_64x32	0.0104861	15.47
DIST_SAD_64x32sub	0.00297095	4.529
INTERPOL_HALF_64x32	0.0106162	0.364
DIST_HAD_64x32	0.0287372	7.644
INTERPOL_QUARTER_64x32	0.0216608	0.364
TR_DCT_32x32_1	0.0241902	2.218
TR_DCT_16x16_1	0.0217018	13.325
TR_DCT_8x8_1	0.0150893	52.056
TR_DCT_4x4_1	0.00556784	69.792
