	 Total Time (s)	Calls (kCalls)
Frame	0
Others	4.17687	2630.43
DIST_HAD_64x64	0.0237804	3.185
TR_DCT_32x32_0	0.0195854	1.804
TR_iDCT_32x32_0	0.0233393	1.795
DIST_SSE_32x32	0.00260838	3.731
TR_DCT_16x16_0	0.00407063	2.546
TR_iDCT_16x16_0	0.00451066	2.283
DIST_SSE_16x16	0.00271662	12.284
DIST_HAD_32x32	0.0238443	12.74
TR_DCT_32x32_1	0.0209203	1.927
TR_iDCT_32x32_1	0.024866	1.91
TR_DCT_16x16_1	0.00357978	2.156
TR_iDCT_16x16_1	0.00372741	1.882
TR_DCT_8x8_1	0.00335201	11.404
TR_iDCT_8x8_1	0.00311527	7.848
DIST_SSE_8x8	0.00750233	90.276
DIST_HAD_16x16	0.0250447	50.96
TR_DCT_16x16_2	0.0124368	7.582
TR_iDCT_16x16_2	0.0142091	7.043
TR_DCT_8x8_2	0.00383196	12.934
TR_iDCT_8x8_2	0.00298742	7.453
TR_DST_4x4_2	0.00254173	23.296
TR_iDST_4x4_2	0.00165864	11.354
DIST_SSE_4x4	0.0306161	656.204
DIST_HAD_8x8	0.0293367	203.84
TR_DCT_8x8_3	0.0162354	55.738
TR_iDCT_8x8_3	0.0165204	41.643
TR_DST_4x4_3	0.0258377	241.412
TR_iDST_4x4_3	0.0145613	105.798
TR_DCT_4x4_3	0.00996791	116.48
TR_iDCT_4x4_3	0.00326745	26.972
DIST_HAD_4x4	0.0383911	815.36
TR_DCT_8x8_0	0.00290967	10.2
TR_iDCT_8x8_0	0.00252814	6.488
TR_DCT_4x4_2	0.00249454	29.8
TR_DCT_4x4_1	0.00204203	24.72
TR_iDCT_4x4_1	0.000931667	7.937
TR_iDCT_4x4_2	0.0010998	9.449

Frame	1
Others	5.48667	5834.77
TR_DCT_32x32_0	0.0275499	2.524
DIST_SSE_32x32	0.00771015	11.025
TR_DCT_16x16_0	0.0217456	13.55
DIST_SSE_16x16	0.0120495	56.471
TR_DCT_8x8_0	0.00549806	19.176
DIST_SSE_8x8	0.0174621	213.257
DIST_SSE_64x64	0.0028425	0.921
DIST_SAD_64x64	0.01028	7.735
DIST_SAD_64x64sub	0.00422303	3.235
INTERPOL_HALF_64x64	0.0101203	0.182
DIST_HAD_64x64	0.0302833	4.081
INTERPOL_QUARTER_64x64	0.0211786	0.182
DIST_SAD_32x64	0.00981019	15.47
DIST_SAD_32x64sub	0.00284879	4.518
INTERPOL_HALF_32x64	0.0108168	0.364
DIST_HAD_32x64	0.0284151	7.644
INTERPOL_QUARTER_32x64	0.0224924	0.364
DIST_SAD_64x32	0.0103724	15.47
DIST_SAD_64x32sub	0.00339086	5.26
INTERPOL_HALF_64x32	0.0104975	0.364
DIST_HAD_64x32	0.0284153	7.644
INTERPOL_QUARTER_64x32	0.0215345	0.364
TR_DCT_32x32_1	0.022542	2.061
TR_DCT_16x16_1	0.0189094	11.7
TR_DCT_8x8_1	0.0135665	46.73
TR_DCT_4x4_1	0.00498928	62.68
DIST_SSE_4x4	0.0433038	1067.63
DIST_SAD_32x32	0.0103618	30.94
DIST_SAD_32x32sub	0.00362562	10.505
INTERPOL_HALF_32x32	0.0115615	0.728
DIST_HAD_32x32	0.0270991	14.329
INTERPOL_QUARTER_32x32	0.0235655	0.728
DIST_SAD_16x32	0.0114162	61.88
DIST_SAD_16x32sub	0.00343715	18.498
INTERPOL_HALF_16x32	0.0134817	1.456
DIST_HAD_16x32	0.0295216	30.576
INTERPOL_QUARTER_16x32	0.0270246	1.456
DIST_SAD_32x16	0.0111276	61.88
DIST_SAD_32x16sub	0.00362383	20.023
INTERPOL_HALF_32x16	0.0125721	1.456
DIST_HAD_32x16	0.0294673	30.576
INTERPOL_QUARTER_32x16	0.024765	1.456
TR_DCT_16x16_2	0.0123436	7.208
TR_DCT_8x8_2	0.0125898	42.532
TR_DCT_4x4_2	0.0176936	226.016
DIST_SAD_16x16	0.0127553	123.76
