	 Total Time (s)	Calls (kCalls)
INTERPOL_HALF_32x64	0.0432435	1.456
DIST_HAD_32x64	0.102103	27.3
INTERPOL_QUARTER_32x64	0.0912941	1.456
DIST_SAD_64x32	0.0419747	61.88
DIST_SAD_64x32sub	0.0178049	27.308
INTERPOL_HALF_64x32	0.0419493	1.456
DIST_HAD_64x32	0.101991	27.3
INTERPOL_QUARTER_64x32	0.0873199	1.456
TR_iDCT_16x16_0	0.0173427	8.817
TR_iDCT_32x32_0	0.0507576	3.892
TR_iDCT_8x8_0	0.00498766	12.489
TR_DCT_4x4_0	0.00138618	14.52
DIST_SSE_4x4	0.000680077	14.52
TR_iDCT_4x4_0	0.00058785	4.611

Frame	5
Others	0.696771	667.193
TR_DCT_32x32_0	0.0354914	3.289
DIST_SSE_32x32	0.00412143	5.925
TR_DCT_16x16_0	0.0247231	15.466
DIST_SSE_16x16	0.00352038	17.596
TR_DCT_8x8_0	0.00707069	23.894
DIST_SSE_8x8	0.00189201	24.288
DIST_SSE_64x64	0.00299939	0.964
DIST_SAD_64x64	0.0411008	30.94
DIST_SAD_64x64sub	0.0232276	17.877
INTERPOL_HALF_64x64	0.040518	0.728
DIST_HAD_64x64	0.104612	14.049
INTERPOL_QUARTER_64x64	0.0844701	0.728
DIST_SAD_32x32	0.0413151	123.76
DIST_SAD_32x32sub	0.0211477	62.03
INTERPOL_HALF_32x32	0.0451135	2.912
DIST_HAD_32x32	0.109132	58.38
INTERPOL_QUARTER_32x32	0.0933165	2.912
DIST_SAD_32x64	0.0403076	61.88
DIST_SAD_32x64sub	0.0171727	26.489
INTERPOL_HALF_32x64	0.0433148	1.456
DIST_HAD_32x64	0.101637	27.3
INTERPOL_QUARTER_32x64	0.091296	1.456
DIST_SAD_64x32	0.042262	61.88
DIST_SAD_64x32sub	0.0193879	29.317
INTERPOL_HALF_64x32	0.0423227	1.456
DIST_HAD_64x32	0.102168	27.3
INTERPOL_QUARTER_64x32	0.0872699	1.456
TR_iDCT_32x32_0	0.0220715	1.705
TR_iDCT_16x16_0	0.00697754	3.566
TR_iDCT_8x8_0	0.00136485	3.427
TR_DCT_4x4_0	0.000524064	5.64
DIST_SSE_4x4	0.000259267	5.64
TR_iDCT_4x4_0	0.000186877	1.486

Frame	6
Others	0.797621	693.802
TR_DCT_32x32_0	0.04094	3.776
DIST_SSE_32x32	0.00463927	6.729
TR_DCT_16x16_0	0.0270196	16.798
DIST_SSE_16x16	0.00394061	19.69
TR_DCT_8x8_0	0.00804159	27.512
DIST_SSE_8x8	0.00219284	28.255
DIST_SSE_64x64	0.00313321	1.01
DIST_SAD_64x64	0.0412417	30.94
DIST_SAD_64x64sub	0.0262929	20.249
INTERPOL_HALF_64x64	0.0404536	0.728
DIST_HAD_64x64	0.106771	14.364
INTERPOL_QUARTER_64x64	0.0844667	0.728
DIST_SAD_32x32	0.0415246	123.76
DIST_SAD_32x32sub	0.0219324	63.483
INTERPOL_HALF_32x32	0.0453083	2.912
DIST_HAD_32x32	0.111689	59.64
INTERPOL_QUARTER_32x32	0.0936883	2.912
DIST_SAD_32x64	0.0398423	61.88
DIST_SAD_32x64sub	0.0189905	29.453
INTERPOL_HALF_32x64	0.0430042	1.456
DIST_HAD_32x64	0.101193	27.3
INTERPOL_QUARTER_32x64	0.0904804	1.456
DIST_SAD_64x32	0.0422061	61.88
DIST_SAD_64x32sub	0.0194246	29.423
INTERPOL_HALF_64x32	0.0422596	1.456
DIST_HAD_64x32	0.102129	27.3
INTERPOL_QUARTER_64x32	0.086906	1.456
TR_iDCT_16x16_0	0.00931343	4.751
TR_iDCT_32x32_0	0.0295445	2.272
TR_iDCT_8x8_0	0.00198287	5.01
TR_DCT_4x4_0	0.000625726	6.72
DIST_SSE_4x4	0.000299759	6.72
TR_iDCT_4x4_0	0.000233894	1.782

Frame	7
Others	0.785099	710.647
TR_DCT_32x32_0	0.0399203	3.68
DIST_SSE_32x32	0.00458212	6.57
TR_DCT_16x16_0	0.0266917	16.598
DIST_SSE_16x16	0.00390185	19.261
TR_DCT_8x8_0	0.00778841	26.356
DIST_SSE_8x8	0.00212644	27.149
DIST_SSE_64x64	0.00312554	0.999
DIST_SAD_64x64	0.0408793	30.94
DIST_SAD_64x64sub	0.0261763	20.209
INTERPOL_HALF_64x64	0.040435	0.728
DIST_HAD_64x64	0.105854	14.294
INTERPOL_QUARTER_64x64	0.0839038	0.728
DIST_SAD_32x32	0.0415745	123.76
DIST_SAD_32x32sub	0.0272079	79.173
INTERPOL_HALF_32x32	0.045465	2.912
DIST_HAD_32x32	0.111533	59.36
INTERPOL_QUARTER_32x32	0.0937075	2.912
DIST_SAD_32x64	0.0403356	61.88
DIST_SAD_32x64sub	0.0198905	30.418
INTERPOL_HALF_32x64	0.0434795	1.456
DIST_HAD_32x64	0.102351	27.3
INTERPOL_QUARTER_32x64	0.0914851	1.456
DIST_SAD_64x32	0.0421313	61.88
DIST_SAD_64x32sub	0.0238163	36.15
INTERPOL_HALF_64x32	0.0421493	1.456
DIST_HAD_64x32	0.101773	27.3
